"Mois de Reporting";"Mois de vente";"Plateforme";"Pays / Région";"Nom du label";"Nom de l'artiste";"Titre de la sortie";"Titre de la piste";"UPC";"ISRC";"Reference catalogue sortie";"Type de sortie";"Type de vente";"Quantite";"Devise de paiement du client";"Prix unitaire";"Frais de reproduction mechanique";"Revenu brut";"Taux de revenu client";"Revenu Net"
"2023-07-01";"2023-06-01";"Spotify";"Turkey";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"6";"EUR";"0,000729";"0,000000";"0,004376000000000";"0,75";"0,003282000000000"
"2023-07-01";"2023-06-01";"Spotify";"Spain";"Petit Voyou Music";"Petit Voyou";"Alice";"Alice ";"3616558444790";"QZ-HN6-20-13061";"";"Music release";"Stream";"15";"EUR";"0,001585";"0,000000";"0,023770000100000";"0,75";"0,017827500075000"
"2023-07-01";"2023-06-01";"Spotify";"Ecuador";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La fin de l'histoire ";"3616558447944";"QZ-DA4-21-05743";"";"Music release";"Stream";"5";"EUR";"0,001057";"0,000000";"0,005284000000000";"0,75";"0,003963000000000"
"2023-07-01";"2023-06-01";"Spotify";"Poland";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Toi & moi ";"3616840797078";"FR-X76-21-65460";"";"Music release";"Stream";"1";"EUR";"0,000851";"0,000000";"0,000851000000000";"0,75";"0,000638250000000"
"2023-07-01";"2023-07-01";"YouTube Official Content";"Argentina";"Petit Voyou Music";"Petit Voyou";"Fragments";"Fragments ";"3616558444332";"QZ-MEN-20-32895";"";"Music release";"Stream";"1";"EUR";"0,000850";"0,000000";"0,000850240615560";"0,75";"0,000637680461670"
"2023-07-01";"2023-07-01";"YouTube Official Content";"Ecuador";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"1";"EUR";"0,002129";"0,000000";"0,002128704606840";"0,75";"0,001596528455130"
"2023-07-01";"2023-07-01";"Apple Music";"United states";"Petit Voyou Music";"Petit Voyou";"Prosecco";"Prosecco ";"3616558444257";"QZ-NWX-20-78401";"";"Music release";"Stream";"2";"EUR";"0,003848";"0,000000";"0,007695355240800";"0,75";"0,005771516430600"
"2023-07-01";"2023-06-01";"Tidal";"France";"Petit Voyou Music";"Petit Voyou";"Recueil de chansons";"La mauvaise herbe ";"3616558447944";"QZ-DA4-21-05744";"";"Music release";"Stream";"1";"EUR";"0,008230";"0,000000";"0,008230000000000";"0,75";"0,006172500000000"
"2023-08-01";"2023-07-01";"Spotify";"Tunisia";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"1";"EUR";"0,000009";"0,000000";"0,000009000000000";"0,75";"0,000006750000000"
"2023-08-01";"2023-07-01";"Spotify";"Romania";"Petit Voyou Music";"Petit Voyou";"Les choses qui brillent";"Les choses qui brillent ";"3616840797078";"FR-X76-21-64425";"";"Music release";"Stream";"3";"EUR";"0,002466";"0,000000";"0,007398000000000";"0,75";"0,005548500000000"
